Z,Символ,"L_base (Вычислительный Долг, MeV)",Эффективность Ядра (Кэш),Открытые Порты (LP),Внутренний Джиттер,T_crit (Порог Активации/Температура)
1,H,1875.612,1.113,0,0.0,50.0
6,C,11174.787,7.686,0,0.0,5907.84
7,N,13048.744,6.865,1,0.0,2356.66
8,O,14890.566,8.258,2,0.0,3610.97
9,F,17707.169,6.996,3,0.131,1184.89
14,Si,26059.853,8.209,0,4.75,1172.09
15,P,28871.629,7.596,1,4.354,908.14
16,S,29782.782,8.207,2,7.6,635.36
17,Cl,32594.31,7.671,3,6.956,537.1
35,Br,73583.239,7.559,3,31.148,162.55
53,I,118294.292,7.574,3,34.241,150.02
